MHG,MAG,LMV,LMD,LWS,LUBS,LLS,LWLSS,AggregatedAttendance
0.100755668,0.386751289,-0.073907285,-0.163903061,0.859080032,-0.095472186,-0.652899126,-0.641435897,-0.01976277
-0.174433249,-0.306624355,-0.305430464,-0.163903061,-0.767614996,-0.547736093,2.123907863,2.585641026,0.024127307
0.100755668,0.733439111,0.157615894,-0.163903061,0.16192502,0.809055627,0.735504369,-0.103589744,0.039100202
-0.449622166,-0.306624355,-0.536953642,0.672193878,-0.302844988,-0.66080207,0.388403495,0.43425641,0.196302847
0.100755668,0.040063467,-0.073907285,0.393494898,-0.535229992,-0.66080207,0.388403495,0.254974359,0.198843195
-0.174433249,0.040063467,-0.073907285,0.393494898,-0.535229992,-0.547736093,0.041302621,0.254974359,0.190379146
-0.449622166,0.040063467,-0.305430464,0.393494898,-0.535229992,-0.547736093,0.388403495,0.613538462,0.152195997
0.100755668,0.040063467,-0.073907285,0.114795918,-0.302844988,-0.434670116,-0.305798253,0.613538462,0.197590731
-0.174433249,-0.306624355,-0.305430464,0.393494898,-0.535229992,-0.208538163,0.041302621,0.613538462,0.19473585
-0.449622166,0.040063467,-0.073907285,0.114795918,-0.070459984,-0.434670116,0.735504369,0.613538462,0.345830608
-0.449622166,0.040063467,-0.305430464,1.229591837,-0.535229992,-0.547736093,-0.305798253,0.43425641,0.261816346
-0.174433249,-0.306624355,-0.305430464,0.114795918,-0.535229992,-0.434670116,0.735504369,0.254974359,0.21046249
-0.174433249,0.386751289,-0.073907285,0.114795918,-0.535229992,-0.773868047,0.388403495,0.254974359,-0.072072975
0.651133501,0.386751289,0.389139073,0.114795918,-0.070459984,-0.434670116,0.041302621,-0.103589744,0.190941621
-0.724811083,-0.653312178,-0.305430464,0.114795918,-0.302844988,-0.32160414,0.041302621,0.254974359,-5.20E-05
-0.174433249,-0.306624355,-0.305430464,0.114795918,-0.070459984,-0.32160414,0.388403495,0.613538462,0.108542528
0.100755668,1.080126934,0.389139073,-0.163903061,-0.070459984,0.356791721,-0.305798253,-0.282871795,0.157932679
-0.724811083,-0.653312178,-0.536953642,-0.442602041,-0.302844988,0.01759379,-0.305798253,-0.103589744,-0.028916808
0.100755668,0.733439111,0.157615894,0.114795918,0.16192502,0.243725744,0.041302621,-0.282871795,0.4953357
0.375944584,-1,0.157615894,-0.163903061,-0.302844988,-0.32160414,0.041302621,0.075692308,0.524476739
0.100755668,-1,-0.073907285,-0.163903061,-0.070459984,-0.208538163,0.041302621,-0.103589744,0.288373116
1.201511335,0.386751289,0.85218543,-0.163903061,0.394310024,0.01759379,-0.305798253,-0.282871795,0.330411417
-0.174433249,-0.653312178,-0.305430464,0.114795918,-0.070459984,0.243725744,-0.305798253,0.075692308,0.208973418
0.375944584,0.733439111,0.157615894,0.114795918,-0.302844988,0.243725744,0.041302621,-0.282871795,0.400883766
-0.449622166,0.386751289,-0.073907285,-0.163903061,-0.070459984,0.130659767,0.041302621,-0.462153846,0.279746133
0.100755668,0.733439111,0.157615894,0.672193878,-0.070459984,-0.32160414,0.041302621,-0.462153846,0.336136764
0.100755668,-0.653312178,-0.073907285,-0.163903061,0.394310024,-0.32160414,-0.305798253,-0.103589744,0.272990762
-0.174433249,0.386751289,-0.073907285,0.114795918,0.626695028,0.01759379,-0.305798253,-0.282871795,0.346918722
0.375944584,0.386751289,0.389139073,-0.442602041,0.626695028,0.243725744,-0.305798253,0.075692308,0.344510137
0.375944584,-0.653312178,0.157615894,0.114795918,-0.535229992,-0.547736093,0.735504369,-0.103589744,0.037738644
-1,0.040063467,-0.305430464,-0.163903061,-0.302844988,0.01759379,0.041302621,0.254974359,0.0358812
0.100755668,-1,-0.073907285,0.114795918,-0.535229992,-0.547736093,0.388403495,0.613538462,0.190689428
0.100755668,-0.306624355,-0.073907285,0.950892857,-0.302844988,-0.208538163,-0.305798253,0.075692308,0.141411206
-0.174433249,-0.306624355,-0.305430464,0.114795918,-0.302844988,0.01759379,0.388403495,0.254974359,0.191910722
0.100755668,0.040063467,-0.073907285,-0.163903061,-0.535229992,-0.208538163,0.041302621,-0.282871795,0.106050351
0.651133501,-0.306624355,0.389139073,-0.163903061,0.16192502,0.469857697,-0.305798253,-0.103589744,0.349484573
0.100755668,-0.653312178,-0.073907285,-0.163903061,-0.070459984,-0.095472186,0.041302621,0.254974359,0.154341054
0.100755668,0.386751289,-0.073907285,0.393494898,0.16192502,0.243725744,0.041302621,0.254974359,0.262649433
0.100755668,0.386751289,-0.073907285,-0.163903061,-0.535229992,-0.32160414,-0.652899126,-0.103589744,0.093767987
0.100755668,-1,-0.073907285,-0.163903061,-0.302844988,0.01759379,0.041302621,-0.462153846,0.160950493
0.375944584,0.386751289,0.157615894,-0.163903061,-0.302844988,-0.208538163,-0.652899126,-0.282871795,0.108859894
0.100755668,0.386751289,-0.073907285,0.114795918,0.394310024,0.130659767,-0.305798253,-0.462153846,0.173707491
-0.174433249,0.040063467,-0.305430464,-0.163903061,-0.535229992,-0.095472186,0.388403495,-0.103589744,0.065369359
0.100755668,-0.306624355,-0.073907285,0.114795918,-0.302844988,-0.32160414,-0.305798253,0.254974359,0.33872245
-0.174433249,0.040063467,-0.073907285,0.393494898,0.16192502,-0.095472186,-0.305798253,-0.103589744,-0.037268929
0.100755668,-0.653312178,-0.073907285,0.114795918,-0.302844988,0.01759379,0.735504369,0.075692308,-0.035172044
0.100755668,0.040063467,-0.073907285,-0.163903061,-0.070459984,-0.095472186,0.041302621,0.254974359,-0.164816231
-0.449622166,0.040063467,-0.305430464,0.114795918,-0.302844988,-0.32160414,-0.305798253,0.254974359,-0.078502479
0.100755668,0.386751289,-0.073907285,-0.163903061,-0.070459984,0.01759379,0.041302621,0.254974359,0.060870973
-0.174433249,0.040063467,-0.305430464,0.950892857,-0.070459984,-0.32160414,0.041302621,0.613538462,0.166116199
