"League"	"LID"	"CID"	"Club"	"Season"	"MostHomeGoals"	"MostAwayGoals"	"LargestMarginofVictory"	"LargestMarginofDefeat"	"LongestWinningStreak"	"LongestUnbeatenStreak"	"LongestLosingStreak"	"LongestWinlessStreak"	"LargestAttendance"	"LowestAttendance"	"AverageAttendance"	"AggregatedAttendance"
"125"	"La_Liga"	15	244	"Real_Betis"	2002	4	4	3	4	3	4	3	6	52500	12000	35805	644500
"126"	"La_Liga"	15	244	"Real_Betis"	2003	3	4	4	2	4	7	3	8	45000	17000	32750	589500
"127"	"La_Liga"	15	244	"Real_Betis"	2004	4	4	4	3	3	11	2	4	50000	24000	35307	459000
"128"	"La_Liga"	15	244	"Real_Betis"	2005	3	3	3	5	3	5	3	9	NA	NA	NA	NA
"129"	"La_Liga"	15	244	"Real_Betis"	2006	3	2	3	5	2	8	3	12	NA	NA	NA	NA
"130"	"La_Liga"	15	244	"Real_Betis"	2007	4	3	4	3	3	3	3	5	50000	30000	42714	299000
"131"	"La_Liga"	15	244	"Real_Betis"	2008	3	4	3	5	3	7	4	6	55000	20000	39943	758935
"132"	"La_Liga"	15	244	"Real_Betis"	2011	4	3	2	4	3	6	6	10	50000	35000	41131	781500
"133"	"La_Liga"	15	244	"Real_Betis"	2012	4	5	4	4	2	4	2	5	52000	23806	36568	694796
"134"	"La_Liga"	15	244	"Real_Betis"	2013	4	3	2	5	1	2	6	14	48500	10000	29792	566060
"135"	"La_Liga"	15	244	"Real_Betis"	2015	2	3	3	5	2	6	3	9	46061	24879	36142	686700
"136"	"La_Liga"	15	244	"Real_Betis"	2016	3	3	2	5	2	2	3	6	41263	22270	31841	604993
"137"	"La_Liga"	15	89	"Real_Sociedad"	2000	4	4	3	6	1	2	3	7	NA	NA	NA	NA
"138"	"La_Liga"	15	89	"Real_Sociedad"	2001	6	3	6	4	3	3	3	8	31000	18000	24361	462860
"139"	"La_Liga"	15	89	"Real_Sociedad"	2002	5	3	5	3	4	19	1	3	31500	21600	26787	482170
"140"	"La_Liga"	15	89	"Real_Sociedad"	2003	3	5	3	4	5	5	3	10	29316	20000	25371	456690
"141"	"La_Liga"	15	89	"Real_Sociedad"	2004	3	5	4	4	2	6	5	5	26000	15500	21196	233166
"142"	"La_Liga"	15	89	"Real_Sociedad"	2005	3	2	3	5	3	4	4	7	NA	NA	NA	NA
"143"	"La_Liga"	15	89	"Real_Sociedad"	2006	3	3	2	2	2	3	5	14	NA	NA	NA	NA
"144"	"La_Liga"	15	89	"Real_Sociedad"	2010	3	4	4	5	3	3	5	7	32000	15000	25289	480500
"145"	"La_Liga"	15	89	"Real_Sociedad"	2011	5	3	4	4	2	7	3	7	32076	17000	24866	472470
"146"	"La_Liga"	15	89	"Real_Sociedad"	2012	4	5	4	4	2	15	2	4	32000	15000	23316	443018
"147"	"La_Liga"	15	89	"Real_Sociedad"	2013	5	3	5	4	5	5	2	7	32076	10492	23796	452126
"148"	"La_Liga"	15	89	"Real_Sociedad"	2014	4	4	3	4	3	3	2	8	28748	14836	21372	406084
"149"	"La_Liga"	15	89	"Real_Sociedad"	2015	3	5	5	4	4	4	2	5	27484	12755	20340	386478
"150"	"La_Liga"	15	89	"Real_Sociedad"	2016	4	3	3	4	4	4	2	4	27653	10927	21234	382217
"151"	"La_Liga"	15	98	"Las_Palmas"	2000	3	3	3	4	3	3	3	5	NA	NA	NA	NA
"152"	"La_Liga"	15	98	"Las_Palmas"	2001	4	3	3	7	1	6	3	8	23000	14500	17844	285519
"153"	"La_Liga"	15	98	"Las_Palmas"	2015	4	3	4	4	3	3	3	5	28414	15775	21210	402991
"154"	"La_Liga"	15	98	"Las_Palmas"	2016	5	4	4	5	2	2	5	7	27843	16007	20409	387780
"155"	"La_Liga"	15	85	"Celta_Vigo"	2000	3	4	3	3	4	10	3	9	NA	NA	NA	NA
"156"	"La_Liga"	15	85	"Celta_Vigo"	2001	4	6	5	3	4	10	2	6	30000	16000	22684	431000
"157"	"La_Liga"	15	85	"Celta_Vigo"	2002	4	3	3	6	3	5	3	4	27000	15000	17833	321000
"158"	"La_Liga"	15	85	"Celta_Vigo"	2003	3	4	4	5	2	4	4	6	30000	10000	19666	354000
"159"	"La_Liga"	15	85	"Celta_Vigo"	2005	4	3	4	3	3	3	3	3	NA	NA	NA	NA
"160"	"La_Liga"	15	85	"Celta_Vigo"	2006	3	3	1	3	3	3	5	11	NA	NA	NA	NA
"161"	"La_Liga"	15	85	"Celta_Vigo"	2012	3	2	2	3	2	2	3	6	31000	14913	21086	400634
"162"	"La_Liga"	15	85	"Celta_Vigo"	2013	4	5	5	3	4	5	4	7	29600	7000	19845	377061
"163"	"La_Liga"	15	85	"Celta_Vigo"	2014	6	2	5	3	2	6	6	10	25077	13200	19031	361596
"164"	"La_Liga"	15	85	"Celta_Vigo"	2015	4	3	3	6	2	8	3	4	24519	13584	18022	342426
