"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[471]",0.128318548409091,0.1257945,0.122025691001254,11000,0.95,0.0639149,0.199943,NA,NA,NA,NA,NA,NA,NA
"theta[472]",0.254687689181818,0.2547565,0.257333106937493,11000,0.95,0.212249,0.298475,NA,NA,NA,NA,NA,NA,NA
"theta[473]",0.284755235,0.284362,0.283199660968503,11000,0.95,0.252512,0.317187,NA,NA,NA,NA,NA,NA,NA
"theta[474]",0.128309928672727,0.1258015,0.1235331982497,10658.2,0.95,0.0605873,0.197165,NA,NA,NA,NA,NA,NA,NA
"theta[475]",0.237312022545455,0.23695,0.233557491372043,11000,0.95,0.206841,0.268752,NA,NA,NA,NA,NA,NA,NA
"theta[476]",0.253877982545455,0.253313,0.251434867245766,11123.4,0.95,0.209488,0.299712,NA,NA,NA,NA,NA,NA,NA
"theta[477]",0.225170692181818,0.224707,0.224117038226559,11000,0.95,0.18063,0.270608,NA,NA,NA,NA,NA,NA,NA
"theta[478]",0.269803815818182,0.268717,0.2655904426871,10265,0.95,0.2205,0.323889,NA,NA,NA,NA,NA,NA,NA
"theta[479]",0.244004442909091,0.2434365,0.241253961109243,11000,0.95,0.196054,0.2934,NA,NA,NA,NA,NA,NA,NA
"theta[480]",0.252431615545455,0.2521625,0.250194707437352,10596.8,0.95,0.220159,0.283646,NA,NA,NA,NA,NA,NA,NA
"theta[481]",0.127560029454545,0.1253355,0.121110954978437,11000,0.95,0.0644257,0.19774,NA,NA,NA,NA,NA,NA,NA
"theta[482]",0.129036425545455,0.126628,0.125122974244932,11412.3,0.95,0.0649787,0.200908,NA,NA,NA,NA,NA,NA,NA
"theta[483]",0.256742019272727,0.25636,0.256208083569555,11000,0.95,0.22133,0.293804,NA,NA,NA,NA,NA,NA,NA
"theta[484]",0.257804525181818,0.257098,0.253724014657588,11000,0.95,0.203106,0.315768,NA,NA,NA,NA,NA,NA,NA
"theta[485]",0.261444013818182,0.260754,0.257068466452147,11000,0.95,0.215569,0.309043,NA,NA,NA,NA,NA,NA,NA
"theta[486]",0.231703611272727,0.2313005,0.232880104039862,11100.6,0.95,0.16937,0.295089,NA,NA,NA,NA,NA,NA,NA
"theta[487]",0.249840117818182,0.2491175,0.24693666060428,11000,0.95,0.191098,0.311476,NA,NA,NA,NA,NA,NA,NA
"theta[488]",0.128706142918182,0.126171,0.121374919933143,11000,0.95,0.0671515,0.198783,NA,NA,NA,NA,NA,NA,NA
"theta[489]",0.251590883909091,0.251626,0.255418103064185,11000,0.95,0.203093,0.305668,NA,NA,NA,NA,NA,NA,NA
"theta[490]",0.266535799727273,0.2661825,0.264332801683824,10661.1,0.95,0.235307,0.29656,NA,NA,NA,NA,NA,NA,NA
"theta[491]",0.151774540327273,0.149742,0.142704862751454,10423.5,0.95,0.0982332,0.208291,NA,NA,NA,NA,NA,NA,NA
"theta[492]",0.200185340363636,0.199683,0.20172308000295,11000,0.95,0.156722,0.246386,NA,NA,NA,NA,NA,NA,NA
